nom_amenageur,geo_point_2d,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,colonne_renomme_13,nbre_pdc,condition_acces,reservation,horaires,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_commune,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified,code_insee_commune,epci,id,code,type,pdc
"WAAT sas","45.192056,5.677952",,,"WAAT SAS | FR*WAT",exploitation@waat.fr,,WAAT,"Non concerné",368761,WAAT/FRWATLJGBR372D,"Parking privé à usage public","61  Boulevard Paul Langevin, Fontaine  38600  France",Array,2,"Accès libre",False,24/7,False,,,,,2022-05-28,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.677952,45.192056,,,False,False,38169,LaMetro,368761,368761,irve,Array
"WAAT sas","45.147098,5.693295",,,"WAAT SAS | FR*WA1",exploitation@waat.fr,,WAAT,"Non concerné",706628,WAAT/FRWATLGJV62IQI,"Parking privé à usage public","12  Rue de Comboire, Échirolles  38130  France",Array,2,"Accès libre",False,24/7,False,,,,,2023-02-03,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.693295,45.147098,,,False,False,38151,LaMetro,706628,706628,irve,Array
"WAAT sas","45.192056,5.677952",,,"WAAT SAS | FR*WA9",exploitation@waat.fr,,WAAT,"Non concerné",708671,WAAT/FRWA5LBW5OXT72,"Parking privé à usage public","61  Boulevard Paul Langevin, Fontaine  38600  France",Array,2,"Accès libre",False,24/7,False,,,,,2023-02-10,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.677952,45.192056,,,False,False,38169,LaMetro,708671,708671,irve,Array
"SMEG Développement","45.157305,5.725449",,,"evZen | FR*EVZ",support@evzen.com,,"Norauto - Bornes publiques","Non concerné",740955,"Norauto - Bornes publiques/B5AD1533-2887-456C-B285-907A103E1E65","Parking privé à usage public","23  Avenue Salvador Allende, Échirolles  38130  France",Array,3,"Accès libre",False,24/7,False,,,,,2023-02-24,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.725449,45.157305,,,False,False,38151,LaMetro,740955,740955,irve,Array
"SMEG Développement","45.238983,5.668929",,,"evZen | FR*EVZ",support@evzen.com,,"Norauto - Bornes publiques","Non concerné",746976,"Norauto - Bornes publiques/5A5A9137-B2E4-4A78-B94A-A8D8DB30F534","Parking public","  Rue de la Trémouillière, Saint-Égrève  38120  France",Array,3,"Accès libre",False,24/7,False,,,,,2023-03-31,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.668929,45.238983,,,False,False,38382,LaMetro,746976,746976,irve,Array
"WAAT sas","45.19392,5.708992",,,"WAAT SAS | FR*WAT",exploitation@waat.fr,,WAAT,"Non concerné",747294,WAAT/FRWATLG4H1BNUH,Voirie,"49  Rue Félix Esclangon, Grenoble  38000  France",Array,1,"Accès libre",False,24/7,False,,,,,2023-03-10,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.708992,45.19392,,,False,False,38185,LaMetro,747294,747294,irve,Array
"WAAT sas","45.193048,5.70859",,,"WAAT SAS | FR*WAT",exploitation@waat.fr,,WAAT,"Non concerné",747312,WAAT/FRWATLW1UETWWT,Voirie,"49  Rue Félix Esclangon, Grenoble  38000  France",Array,1,"Accès libre",False,24/7,False,,,,,2023-03-10,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.70859,45.193048,,,False,False,38185,LaMetro,747312,747312,irve,Array
"WAAT sas","45.189336,5.699498",,,"WAAT SAS | FR*W11",exploitation@waat.fr,,WAAT,"Non concerné",789183,WAAT/FRWA3L9HKFTGHQ,"Parking public","8  Avenue Aristide Briand, Fontaine  38600  France",Array,4,"Accès libre",False,24/7,False,,,,,2023-05-31,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.699498,45.189336,,,False,False,38169,LaMetro,789183,789183,irve,Array
"WAAT sas","45.166618,5.716421",,,"WAAT SAS | FR*WA5",exploitation@waat.fr,,WAAT,"Non concerné",805281,WAAT/FRWATLJ8Y3Q8UO,"Parking privé à usage public","73D  Rue Général Mangin, Grenoble  38100  France",Array,2,"Accès libre",False,24/7,False,,,,,2023-05-24,2023-07-16T06:41:35.869000+00:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,5.716421,45.166618,,,False,False,38185,LaMetro,805281,805281,irve,Array
ELECTRA,"45.216314,5.682108",891624884,help@electra.com,ELECTRA,help@electra.com,,ELECTRA,FRELCPSEGBU,,"Saint-Égrève - BUT","Station dédiée à la recharge rapide","3 avenue de l'Île Brune 38120 Saint-Égrève",Array,4,"Accès libre",true,24/7,false,Direct,N/A,2023-04-21,"Télécharger l'application ELECTRA pour réserver et payer sur go-electra.com",2023-07-17,2023-07-17T03:05:23.766000+00:00,623ca46c13130c3228abd018,e9bb3424-77cd-40ba-8bbd-5a19362d0365,electra,5.682108,45.216314,38120,Saint-Égrève,True,True,38382,LaMetro,FRELCPSEGBU,FRELCPSEGBU,irve,Array
,"45.214781,5.685096",,info@chargepoint.com,,info@chargepoint.com,,"SONEPAR LE VINOUX",FRCPIE6635955,FRCPIE6635955,"SONEPAR LE VINOUX",Voirie,"24 Rue Louis Gagnière, 38950 Saint-Martin-le-Vinoux",Array,2,"Accès libre",false,24/7,false,,,2022-10-12,"EF connector is available at the site separately",2023-07-15,2023-07-16T10:57:48.369000+00:00,64060c2ac773dcf3fabbe5d2,b11113db-875d-41c7-8673-0cf8ad43e917,eco-movement,5.685096,45.214781,,,False,False,38423,LaMetro,FRCPIE6635955,FRCPIE6635955,irve,Array
,"45.165133,5.767761",,info@chargepoint.com,,info@chargepoint.com,,"SONEPAR AED ST-M.HERES",FRCPIE6735845,FRCPIE6735845,"SONEPAR AED ST-M.HERES",Voirie,"38 Pl. de la Liberté, 38400 Saint-Martin-d'Hères",Array,2,"Accès réservé",false,"Mo 06:30-19:00,Tu 06:30-19:00,We 06:30-19:00,Th 06:30-19:00,Fr 06:30-19:00",false,,,2023-06-26,"EF connector is available at the site separately",2023-07-15,2023-07-16T10:57:48.369000+00:00,64060c2ac773dcf3fabbe5d2,b11113db-875d-41c7-8673-0cf8ad43e917,eco-movement,5.767761,45.165133,,,False,False,38421,LaMetro,FRCPIE6735845,FRCPIE6735845,irve,Array
